session_id,mitre_tactic_reconnaissance,mitre_tactic_resource_development,mitre_tactic_initial_access,mitre_tactic_execution,mitre_tactic_persistence,mitre_tactic_privilege_escalation,mitre_tactic_defense_evasion,mitre_tactic_credential_access,mitre_tactic_discovery,mitre_tactic_lateral_movement,mitre_tactic_collection,mitre_tactic_command_and_control,mitre_tactic_exfiltration,mitre_tactic_impact,mitre_severity_max,mitre_severity_mean,mitre_severity_weighted,mitre_kill_chain_score,mitre_unique_technique_count,mitre_total_commands,mitre_matched_commands,mitre_severity_tier,mitre_technique_ids
0e39e78ccca5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
70265e78e29b,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
0f23892ee402,0,0,0,1,2,0,0,0,4,0,0,0,0,1,9,5.125,33.625,4,8,19,17,critical,T1007|T1033|T1053.003|T1059.004|T1082|T1083|T1098.004|T1489
b66e9a8523cc,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
3a9c6734f97e,0,0,0,1,2,0,0,0,4,0,0,0,0,1,9,5.125,33.625,4,8,19,17,critical,T1007|T1033|T1053.003|T1059.004|T1082|T1083|T1098.004|T1489
b69e39877320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1082
cbc1b9d163e7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
bd6cbea5d1f5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1083
85b02c01ce42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,none,
3ef8e3ccb4b8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
cdbe87cb187b,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
6a04d84b4022,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
3976d9a29f59,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
402146efcf46,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
588f75f701bf,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
da2592d09636,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
f89258297ab2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1082
9fb5099717a6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
bacd0db8762a,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
df6273c9576b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1082
51c1ab1b11cd,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
127ab1cc3a86,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
734e50c9f6de,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
f394fdde12c6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
4ce146571132,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
44d1ad791bca,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
d1fa82ccc16c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1082
e5ab4f895a96,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
9f5a962080fa,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
1dd22d920c91,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2.333,6.333,1,3,4,4,low,T1033|T1082|T1083
d2f20b4833df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,none,
db3cca1b76cf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.0,4.0,1,1,1,1,low,T1082
05a7847e2d5b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3.0,9.0,1,1,1,1,low,T1057
aa47e488354b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1082
ce753b355610,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,1.0,1,1,1,1,low,T1082
